detectorid,highwayid,milepost,locationtext,detectorclass,lanenumber,stationid
1345,3,14.32,Sunnyside NB,1,1,1045
1346,3,14.32,Sunnyside NB,1,2,1045
1347,3,14.32,Sunnyside NB,1,3,1045
1348,3,14.32,Sunnyside NB,1,4,1045
1350,3,14.32,Sunnyside NB,5,1,5045
1353,3,16.2,Johnson Cr NB,1,1,1046
1354,3,16.2,Johnson Cr NB,1,2,1046
1355,3,16.2,Johnson Cr NB,1,3,1046
1358,3,16.2,Johnson Cr NB,5,1,5046
1361,3,18.1,Foster NB,1,1,1047
1362,3,18.1,Foster NB,1,2,1047
1363,3,18.1,Foster NB,1,3,1047
1366,3,18.1,Foster NB,5,1,5047
1809,3,19.4,Powell to I-205 NB,1,1,1117
1810,3,19.4,Powell to I-205 NB,1,2,1117
1811,3,19.4,Powell to I-205 NB,1,3,1117
1812,3,19.4,Powell to I-205 NB,5,1,5117
1369,3,19.78,Division NB,1,1,1048
1370,3,19.78,Division NB,1,2,1048
1371,3,19.78,Division NB,1,3,1048
1374,3,19.78,Division NB,5,1,5048
1949,3,21.12,I-205 NB at Glisan,1,1,1142
1950,3,21.12,I-205 NB at Glisan,1,2,1142
1951,3,21.12,I-205 NB at Glisan,1,3,1142
1952,3,21.12,I-205 NB at Glisan,5,1,5142
1941,3,23.41,I-205 NB at Columbia,1,1,1140
1942,3,23.41,I-205 NB at Columbia,1,2,1140
1943,3,23.41,I-205 NB at Columbia,1,3,1140
1944,3,23.41,I-205 NB at Columbia,5,1,5140
1856,4,14.58,Sunnyside SB,1,1,1125
1857,4,14.58,Sunnyside SB,1,2,1125
1858,4,14.58,Sunnyside SB,1,3,1125
1861,4,14.58,Sunnyside SB,5,1,5125
1730,4,16.24,Johnson Creek SB,1,1,1098
1731,4,16.24,Johnson Creek SB,1,2,1098
1732,4,16.24,Johnson Creek SB,1,3,1098
1735,4,16.24,Johnson Creek SB,5,1,5098
1417,4,17.5,Foster SB,1,1,1054
1418,4,17.5,Foster SB,1,2,1054
1419,4,17.5,Foster SB,1,3,1054
1422,4,17.5,Foster SB,5,1,5054
1409,4,18.92,Powell Blvd SB,1,1,1053
1410,4,18.92,Powell Blvd SB,1,2,1053
1411,4,18.92,Powell Blvd SB,1,3,1053
1414,4,18.92,Powell Blvd SB,5,1,5053
1401,4,19.25,Division SB,1,1,1052
1402,4,19.25,Division SB,1,2,1052
1403,4,19.25,Division SB,1,3,1052
1406,4,19.25,Division SB,5,1,5052
1393,4,20.34,Stark/Washington SB,1,1,1051
1394,4,20.34,Stark/Washington SB,1,2,1051
1395,4,20.34,Stark/Washington SB,1,3,1051
1398,4,20.34,Stark/Washington SB,5,1,5051
1953,4,21.12,I-205 SB at Glisan,1,1,1143
1954,4,21.12,I-205 SB at Glisan,1,2,1143
1955,4,21.12,I-205 SB at Glisan,1,3,1143
1956,4,21.12,I-205 SB at Glisan,5,1,5143
1945,4,23.41,I-205 SB at Columbia,1,1,1141
1946,4,23.41,I-205 SB at Columbia,1,2,1141
1947,4,23.41,I-205 SB at Columbia,1,3,1141
1948,4,23.41,I-205 SB at Columbia,5,1,5141
1385,4,24.66,Airportway EB to SB,1,1,1050
1386,4,24.66,Airportway EB to SB,1,2,1050
1387,4,24.66,Airportway EB to SB,1,3,1050
1390,4,24.66,Airportway EB to SB,5,1,5050
1377,4,24.77,Airportway WB to SB,1,1,1049
1378,4,24.77,Airportway WB to SB,1,2,1049
1379,4,24.77,Airportway WB to SB,1,3,1049
1382,4,24.77,Airportway WB to SB,5,1,5049
