"ts","starttime","detectorid","volume","speed","occupancy","status","dqflags"
1316192400,"2011-09-16 10:00:00-07",1346,3,52,5,2,0
1316192420,"2011-09-16 10:00:20-07",1346,7,61,10,2,0
1316192440,"2011-09-16 10:00:40-07",1346,6,56,11,2,0
1316192460,"2011-09-16 10:01:00-07",1346,7,67,8,2,0
1316192480,"2011-09-16 10:01:20-07",1346,4,53,6,2,0
1316192500,"2011-09-16 10:01:40-07",1346,7,60,10,2,0
1316192520,"2011-09-16 10:02:00-07",1346,7,63,7,2,0
1316192540,"2011-09-16 10:02:20-07",1346,5,61,6,2,0
1316192560,"2011-09-16 10:02:40-07",1346,6,61,6,2,0
1316192580,"2011-09-16 10:03:00-07",1346,7,61,15,2,0
1316192600,"2011-09-16 10:03:20-07",1346,6,67,10,2,0
1316192620,"2011-09-16 10:03:40-07",1346,6,65,8,2,0
1316192640,"2011-09-16 10:04:00-07",1346,5,52,10,2,0
1316192660,"2011-09-16 10:04:20-07",1346,8,64,15,2,0
1316192680,"2011-09-16 10:04:40-07",1346,7,57,15,2,0
1316192700,"2011-09-16 10:05:00-07",1346,6,73,7,2,0
1316192720,"2011-09-16 10:05:20-07",1346,8,64,16,2,0
1316192740,"2011-09-16 10:05:40-07",1346,11,59,17,2,0
1316192760,"2011-09-16 10:06:00-07",1346,7,55,14,2,0
1316192780,"2011-09-16 10:06:20-07",1346,6,72,9,2,0
1316192800,"2011-09-16 10:06:40-07",1346,8,60,17,2,0
1316192820,"2011-09-16 10:07:00-07",1346,5,58,6,2,0
1316192840,"2011-09-16 10:07:20-07",1346,6,58,7,2,0
1316192860,"2011-09-16 10:07:40-07",1346,2,64,7,2,0
1316192880,"2011-09-16 10:08:00-07",1346,6,58,7,2,0
1316192900,"2011-09-16 10:08:20-07",1346,6,60,9,2,0
1316192920,"2011-09-16 10:08:40-07",1346,5,59,8,2,0
1316192940,"2011-09-16 10:09:00-07",1346,4,57,6,2,0
1316192960,"2011-09-16 10:09:20-07",1346,4,63,8,2,0
1316192980,"2011-09-16 10:09:40-07",1346,6,70,6,2,0
1316193000,"2011-09-16 10:10:00-07",1346,4,51,3,2,0
1316193020,"2011-09-16 10:10:20-07",1346,2,64,9,2,0
1316193040,"2011-09-16 10:10:40-07",1346,9,56,14,2,0
1316193060,"2011-09-16 10:11:00-07",1346,9,61,13,2,0
1316193080,"2011-09-16 10:11:20-07",1346,6,60,10,2,0
1316193100,"2011-09-16 10:11:40-07",1346,7,62,8,2,0
1316193120,"2011-09-16 10:12:00-07",1346,8,60,13,2,0
1316193140,"2011-09-16 10:12:20-07",1346,8,61,16,2,0
1316193160,"2011-09-16 10:12:40-07",1346,6,61,9,2,0
1316193180,"2011-09-16 10:13:00-07",1346,5,53,10,2,0
1316193200,"2011-09-16 10:13:20-07",1346,6,61,9,2,0
1316193220,"2011-09-16 10:13:40-07",1346,7,64,5,2,0
1316193240,"2011-09-16 10:14:00-07",1346,5,63,15,2,0
1316193260,"2011-09-16 10:14:20-07",1346,9,54,14,2,0
1316193280,"2011-09-16 10:14:40-07",1346,5,72,5,2,0
1316193300,"2011-09-16 10:15:00-07",1346,6,60,10,2,0
1316193320,"2011-09-16 10:15:20-07",1346,7,67,12,2,0
1316193340,"2011-09-16 10:15:40-07",1346,6,59,7,2,0
1316193360,"2011-09-16 10:16:00-07",1346,5,62,16,2,0
1316193380,"2011-09-16 10:16:20-07",1346,7,51,13,2,0
1316193400,"2011-09-16 10:16:40-07",1346,6,65,6,2,0
1316193420,"2011-09-16 10:17:00-07",1346,5,48,10,2,0
1316193440,"2011-09-16 10:17:20-07",1346,7,62,17,2,0
1316193460,"2011-09-16 10:17:40-07",1346,5,71,9,2,0
1316193480,"2011-09-16 10:18:00-07",1346,5,55,12,2,0
1316193500,"2011-09-16 10:18:20-07",1346,6,50,11,2,0
1316193520,"2011-09-16 10:18:40-07",1346,4,60,14,2,0
1316193540,"2011-09-16 10:19:00-07",1346,6,65,12,2,0
1316193560,"2011-09-16 10:19:20-07",1346,5,60,12,2,0
1316193580,"2011-09-16 10:19:40-07",1346,6,66,7,2,0
1316193600,"2011-09-16 10:20:00-07",1346,8,59,15,2,0
1316193620,"2011-09-16 10:20:20-07",1346,3,76,2,2,0
1316193640,"2011-09-16 10:20:40-07",1346,9,57,14,2,0
1316193660,"2011-09-16 10:21:00-07",1346,5,63,8,2,0
1316193680,"2011-09-16 10:21:20-07",1346,6,54,7,2,0
1316193700,"2011-09-16 10:21:40-07",1346,7,69,8,2,0
1316193720,"2011-09-16 10:22:00-07",1346,6,65,11,2,0
1316193740,"2011-09-16 10:22:20-07",1346,9,55,19,2,0
1316193760,"2011-09-16 10:22:40-07",1346,5,61,8,2,0
1316193780,"2011-09-16 10:23:00-07",1346,4,47,14,2,0
1316193800,"2011-09-16 10:23:20-07",1346,7,76,8,2,0
1316193820,"2011-09-16 10:23:40-07",1346,9,63,18,2,0
1316193840,"2011-09-16 10:24:00-07",1346,7,66,6,2,0
1316193860,"2011-09-16 10:24:20-07",1346,6,57,10,2,0
1316193880,"2011-09-16 10:24:40-07",1346,5,68,9,2,0
1316193900,"2011-09-16 10:25:00-07",1346,5,72,6,2,0
1316193920,"2011-09-16 10:25:20-07",1346,5,58,5,2,0
1316193940,"2011-09-16 10:25:40-07",1346,5,54,5,2,0
1316193960,"2011-09-16 10:26:00-07",1346,3,64,3,2,0
1316193980,"2011-09-16 10:26:20-07",1346,6,58,8,2,0
1316194000,"2011-09-16 10:26:40-07",1346,6,64,10,2,0
1316194020,"2011-09-16 10:27:00-07",1346,6,68,12,2,0
1316194040,"2011-09-16 10:27:20-07",1346,10,58,26,2,0
1316194060,"2011-09-16 10:27:40-07",1346,11,67,18,2,0
1316194080,"2011-09-16 10:28:00-07",1346,4,72,4,2,0
1316194100,"2011-09-16 10:28:20-07",1346,8,62,11,2,0
1316194120,"2011-09-16 10:28:40-07",1346,8,65,9,2,0
1316194140,"2011-09-16 10:29:00-07",1346,6,71,8,2,0
1316194160,"2011-09-16 10:29:20-07",1346,3,60,7,2,0
1316194180,"2011-09-16 10:29:40-07",1346,8,62,12,2,0
1316194200,"2011-09-16 10:30:00-07",1346,8,61,8,2,0
1316194220,"2011-09-16 10:30:20-07",1346,6,53,14,2,0
1316194240,"2011-09-16 10:30:40-07",1346,5,62,9,2,0
1316194260,"2011-09-16 10:31:00-07",1346,8,53,10,2,0
1316194280,"2011-09-16 10:31:20-07",1346,6,53,18,2,0
1316194300,"2011-09-16 10:31:40-07",1346,6,48,5,2,0
1316194320,"2011-09-16 10:32:00-07",1346,7,61,10,2,0
1316194340,"2011-09-16 10:32:20-07",1346,8,62,7,2,0
1316194360,"2011-09-16 10:32:40-07",1346,8,64,12,2,0
1316194380,"2011-09-16 10:33:00-07",1346,7,65,14,2,0
1316194400,"2011-09-16 10:33:20-07",1346,5,60,10,2,0
1316194420,"2011-09-16 10:33:40-07",1346,9,61,12,2,0
1316194440,"2011-09-16 10:34:00-07",1346,8,58,11,2,0
1316194460,"2011-09-16 10:34:20-07",1346,6,76,9,2,0
1316194480,"2011-09-16 10:34:40-07",1346,10,54,20,2,0
1316194500,"2011-09-16 10:35:00-07",1346,4,65,3,2,0
1316194520,"2011-09-16 10:35:20-07",1346,8,70,13,2,0
1316194540,"2011-09-16 10:35:40-07",1346,8,56,11,2,0
1316194560,"2011-09-16 10:36:00-07",1346,9,63,15,2,0
1316194580,"2011-09-16 10:36:20-07",1346,4,64,4,2,0
1316194600,"2011-09-16 10:36:40-07",1346,5,64,5,2,0
1316194620,"2011-09-16 10:37:00-07",1346,5,57,8,2,0
1316194640,"2011-09-16 10:37:20-07",1346,4,79,4,2,0
1316194660,"2011-09-16 10:37:40-07",1346,9,55,13,2,0
